CASE_ID,ALERT_ID,INVESTIGATOR_ID,PRIORITY,CASE_STATUS,RESOLUTION_DAYS,CASE_OPEN_DATE,ANALYST_RISK_SCORE,DOCS_REQUESTED,CUSTOMER_CONTACTED,EDD_TRIGGERED,LINKED_CASES_COUNT
CASE0000001,ALT00007568,INV_04,LOW,CLOSED_FALSE_POSITIVE,5,2023-01-16 12:38:32.122406,52,0,1,0,0
CASE0000002,ALT00006952,AUTO_SYS,HIGH,CLOSED_FALSE_POSITIVE,12,2024-03-10 03:48:32.730674,29,0,0,0,1
CASE0000003,ALT00002115,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,18,2024-06-25 11:03:10.182019,27,1,1,0,1
CASE0000004,ALT00007472,INV_01,MEDIUM,CLOSED_SAR_FILED,6,2022-10-21 22:31:13.968970,67,0,1,0,1
CASE0000005,ALT00010176,INV_02,LOW,CLOSED_FALSE_POSITIVE,44,2022-06-25 02:27:31.209888,40,1,1,0,1
CASE0000006,ALT00009758,INV_01,LOW,CLOSED_MONITORING,9,2022-04-13 05:19:44.775312,11,1,0,0,0
CASE0000007,ALT00005187,INV_02,LOW,CLOSED_FALSE_POSITIVE,28,2023-07-12 21:49:04.996797,69,1,1,0,4
CASE0000008,ALT00002139,INV_03,LOW,CLOSED_MONITORING,40,2023-02-19 15:39:48.643189,52,0,0,0,0
CASE0000009,ALT00008557,INV_03,HIGH,CLOSED_FALSE_POSITIVE,31,2023-01-22 10:14:35.491219,40,0,0,0,1
CASE0000010,ALT00005804,INV_01,LOW,CLOSED_FALSE_POSITIVE,36,2023-02-07 21:10:40.873321,43,1,0,0,0
CASE0000011,ALT00010146,INV_01,LOW,CLOSED_FALSE_POSITIVE,17,2023-09-06 15:35:05.949325,17,1,1,0,0
CASE0000012,ALT00004075,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,15,2022-11-29 10:57:06.543292,29,0,1,0,0
CASE0000013,ALT00003370,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,35,2023-04-14 13:02:57.185141,54,1,0,0,1
CASE0000014,ALT00000711,INV_03,LOW,OPEN,21,2022-12-03 16:37:39.168141,76,1,0,0,4
CASE0000015,ALT00006935,AUTO_SYS,HIGH,CLOSED_FALSE_POSITIVE,10,2022-04-16 23:48:20.199799,25,0,0,0,0
CASE0000016,ALT00009084,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,3,2024-04-09 18:13:34.650084,41,0,0,0,0
CASE0000017,ALT00008810,INV_03,LOW,CLOSED_FALSE_POSITIVE,21,2022-05-02 13:40:22.056697,35,1,1,0,0
CASE0000018,ALT00010045,INV_03,MEDIUM,CLOSED_SAR_FILED,1,2024-02-27 02:43:20.389106,40,0,0,0,0
CASE0000019,ALT00008123,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,2,2024-05-11 01:36:36.698652,44,1,1,0,1
CASE0000020,ALT00009994,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,9,2023-12-25 16:23:46.725357,36,1,0,0,0
CASE0000021,ALT00003018,INV_04,LOW,OPEN,11,2023-11-02 19:19:58.511752,8,1,1,0,0
CASE0000022,ALT00000714,INV_04,MEDIUM,CLOSED_SAR_FILED,4,2022-01-24 00:33:00.346996,35,0,1,1,0
CASE0000023,ALT00005287,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,43,2024-02-03 21:17:21.956650,30,0,1,0,0
CASE0000024,ALT00001865,INV_04,HIGH,CLOSED_FALSE_POSITIVE,30,2023-06-01 02:51:04.784040,48,0,0,0,1
CASE0000025,ALT00005299,INV_02,HIGH,CLOSED_FALSE_POSITIVE,39,2022-08-26 00:21:12.699985,26,1,1,0,1
CASE0000026,ALT00005065,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,44,2022-01-29 02:14:52.824670,45,0,1,0,0
CASE0000027,ALT00008329,INV_02,LOW,CLOSED_FALSE_POSITIVE,19,2023-04-29 01:57:34.063254,47,0,1,0,0
CASE0000028,ALT00008650,INV_04,MEDIUM,OPEN,34,2022-02-14 21:26:57.936885,10,1,1,0,0
CASE0000029,ALT00009481,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,27,2023-06-21 17:12:01.028801,45,0,0,0,0
CASE0000030,ALT00007316,AUTO_SYS,HIGH,CLOSED_FALSE_POSITIVE,37,2023-09-01 11:03:06.837486,12,0,0,0,0
CASE0000031,ALT00008392,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,36,2023-09-01 20:54:03.500475,47,0,1,0,0
CASE0000032,ALT00003209,AUTO_SYS,LOW,OPEN,13,2023-01-01 23:18:55.587066,69,0,1,0,4
CASE0000033,ALT00006084,AUTO_SYS,HIGH,OPEN,9,2023-03-17 06:06:54.625066,50,1,1,0,1
CASE0000034,ALT00002957,INV_02,LOW,CLOSED_FALSE_POSITIVE,22,2023-04-15 03:18:35.250818,42,1,1,0,0
CASE0000035,ALT00000901,INV_03,HIGH,CLOSED_MONITORING,13,2023-06-17 04:26:32.263990,88,1,0,0,3
CASE0000036,ALT00001091,INV_02,HIGH,CLOSED_FALSE_POSITIVE,23,2024-01-23 13:06:59.868930,54,0,1,0,0
CASE0000037,ALT00008226,INV_02,LOW,CLOSED_FALSE_POSITIVE,9,2023-12-23 16:03:32.310711,38,1,0,0,1
CASE0000038,ALT00002895,INV_01,HIGH,CLOSED_FALSE_POSITIVE,26,2023-06-05 07:48:57.439048,44,1,0,0,0
CASE0000039,ALT00000319,INV_01,LOW,CLOSED_SAR_FILED,42,2023-09-10 06:16:09.473607,44,0,1,0,2
CASE0000040,ALT00000136,INV_01,LOW,CLOSED_SAR_FILED,33,2022-07-19 02:43:47.816641,57,1,1,1,1
CASE0000041,ALT00009027,INV_03,LOW,CLOSED_FALSE_POSITIVE,42,2023-06-22 03:21:04.140488,26,0,0,0,0
CASE0000042,ALT00000938,INV_01,MEDIUM,OPEN,18,2023-09-12 04:50:54.158062,45,1,0,0,4
CASE0000043,ALT00000034,INV_01,LOW,CLOSED_MONITORING,40,2023-07-10 19:44:03.442696,89,1,1,0,4
CASE0000044,ALT00002037,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,19,2023-01-20 14:51:47.023219,49,1,0,0,1
CASE0000045,ALT00007104,INV_03,LOW,CLOSED_FALSE_POSITIVE,35,2022-12-08 18:11:43.754921,29,0,1,0,0
CASE0000046,ALT00000036,AUTO_SYS,LOW,CLOSED_MONITORING,21,2024-04-05 22:15:26.912827,91,0,1,0,0
CASE0000047,ALT00005169,INV_04,LOW,CLOSED_FALSE_POSITIVE,39,2022-10-03 06:56:41.887679,14,1,1,0,0
