CUSTOMER_ID,NATIONALITY,OCCUPATION,INCOME_BRACKET,CUSTOMER_RISK_RATING,PEP_FLAG,SANCTION_HIT,ADVERSE_MEDIA_FLAG,KYC_COMPLETENESS_PCT,DAYS_SINCE_KYC,ONBOARDING_CHANNEL,IS_ACTIVE
CUST0000001,IN,BUSINESS_OWNER,50k-100k,2,0,0,0,85.6,153,BRANCH,1
CUST0000002,IN,BUSINESS_OWNER,0-50k,9,0,1,1,77.6,179,BRANCH,1
CUST0000003,US,SALARIED,50k-100k,5,0,0,0,86.2,43,THIRD_PARTY,1
CUST0000004,IN,POLITICIAN,100k-250k,4,0,0,0,72.2,162,MOBILE,1
CUST0000005,NG,SELF_EMPLOYED,100k-250k,1,0,0,0,89.0,122,BRANCH,1
CUST0000006,IN,SALARIED,0-50k,1,0,0,0,100.0,87,WEB,1
CUST0000007,US,BUSINESS_OWNER,0-50k,1,0,0,0,100.0,393,BRANCH,1
CUST0000008,IN,SALARIED,50k-100k,7,0,0,0,60.9,318,MOBILE,1
CUST0000009,US,BUSINESS_OWNER,0-50k,4,0,0,0,89.6,14,WEB,1
CUST0000010,IN,SALARIED,100k-250k,5,0,0,0,82.1,764,THIRD_PARTY,1
CUST0000011,IN,RETIRED,0-50k,1,0,0,0,80.5,47,BRANCH,1
CUST0000012,IN,SELF_EMPLOYED,100k-250k,9,0,0,0,60.8,43,BRANCH,1
CUST0000013,IN,,50k-100k,6,1,0,0,74.9,518,MOBILE,1
CUST0000014,NG,SALARIED,0-50k,2,0,0,0,92.4,105,BRANCH,1
CUST0000015,IN,BUSINESS_OWNER,100k-250k,1,0,0,0,85.4,294,BRANCH,1
CUST0000016,US,BUSINESS_OWNER,50k-100k,1,0,0,0,89.9,61,MOBILE,1
CUST0000017,NG,SELF_EMPLOYED,,2,0,0,0,87.0,371,BRANCH,1
CUST0000018,GB,BUSINESS_OWNER,,3,0,0,0,83.7,321,WEB,1
CUST0000019,NG,SELF_EMPLOYED,50k-100k,3,0,0,1,83.8,131,MOBILE,1
CUST0000020,VG,STUDENT,0-50k,2,1,1,0,90.9,219,MOBILE,1
